segment,anomaly,train,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len,label
1.0,1.0,1.0,1.0,279.0,280.0,8.533143499999998e-07,3.49428315570552e-10,1.8693001780627744e-05,0.6311173662492302,0.5520522696354365,4.0,3.0,2.0,4.0,6.0,1.2711755417075724e-10,2.9606660433502864e-10,279.0,280.0,1.2524312386041289e-12,1.2479582698948285e-12,0
2.0,1.0,1.0,1.0,476.0,477.0,-3.639396266247381e-06,6.476484614528283e-10,2.544893831681056e-05,-1.2436105409484075,0.4256322649450154,1.0,1.0,1.0,5.0,8.0,1.4893834768968185e-12,3.004752494170574e-12,476.0,477.0,1.3606060114555216e-12,1.357753587951422e-12,0
3.0,1.0,1.0,1.0,594.0,595.0,1.1707879512605042e-05,5.59287714097435e-10,2.364926455722112e-05,-0.2845925576500123,-0.8261874641934153,3.0,2.0,2.0,2.0,3.0,4.112280202789317e-12,1.0299180074673246e-11,594.0,595.0,9.4156180824484e-13,9.399793514242604e-13,0
4.0,1.0,1.0,1.0,271.0,272.0,8.486808235294126e-07,5.46602384661463e-10,2.337952917963625e-05,-0.8870884659002054,-0.1384979514679493,2.0,2.0,2.0,3.0,6.0,2.4757597647001087e-11,6.240984572962385e-11,271.0,272.0,2.016982969230492e-12,2.009567590667144e-12,0
5.0,0.0,0.0,1.0,256.0,257.0,1.0584846070038911e-05,5.27902278315266e-10,2.2976124092528443e-05,-1.4843933372949996,-0.0601548781724772,1.0,1.0,1.0,78.0,87.0,5.547101361564531e-13,7.035422088489087e-13,256.0,257.0,2.062118274669008e-12,2.054094468152786e-12,0
6.0,0.0,1.0,1.0,252.0,253.0,6.326025494071145e-06,6.643179719118847e-10,2.5774366566646883e-05,-1.3023085613490446,-0.179240113059536,1.0,1.0,1.0,66.0,84.0,6.43057523093702e-13,7.268033028148551e-13,252.0,253.0,2.636182428221765e-12,2.6257627348295838e-12,0
7.0,0.0,0.0,1.0,379.0,380.0,2.9907951973684204e-06,3.8437252690564615e-10,1.960542085510144e-05,-0.736378555471322,-0.0782942495914141,1.0,1.0,1.0,111.0,127.0,3.793821108523652e-13,6.80787912571573e-13,379.0,380.0,1.0141755327325757e-12,1.0115066497517005e-12,0
8.0,1.0,1.0,1.0,399.0,400.0,1.5204373149999998e-06,1.652298873352987e-10,1.2854177816387116e-05,-0.1114814980954337,0.5987550414758036,3.0,3.0,2.0,1.0,2.0,1.989722057280419e-11,5.946671994860804e-11,399.0,400.0,4.141099933215506e-13,4.1307471833824674e-13,0
9.0,1.0,1.0,1.0,513.0,514.0,4.173000953307394e-07,1.73340145538637e-10,1.316587048161408e-05,-0.8595242578461675,0.3059972421010178,1.0,1.0,1.0,4.0,2.0,1.1309735970453785e-12,2.510246914573329e-12,513.0,514.0,3.3789502054315213e-13,3.372376372347024e-13,0
10.0,0.0,1.0,1.0,316.0,317.0,4.411687239747634e-06,6.31100611241738e-10,2.5121715929484952e-05,-1.2167116352009533,-0.1281759287096554,1.0,1.0,1.0,97.0,104.0,5.293624016340368e-13,8.428462406968079e-13,316.0,317.0,1.997153833043475e-12,1.9908536632231484e-12,0
11.0,0.0,1.0,1.0,229.0,230.0,-4.51954224e-06,4.3323061321283644e-10,2.0814192590942283e-05,-1.2642493263381809,-0.2320908424929871,1.0,1.0,1.0,71.0,84.0,5.909420092907244e-13,8.931564543910516e-13,229.0,230.0,1.8918367389206838e-12,1.883611361794942e-12,0
12.0,0.0,0.0,1.0,238.0,239.0,8.207475334476986e-06,6.720664935050506e-10,2.592424528322957e-05,-1.4771013537511233,-0.0442376143489289,1.0,1.0,1.0,66.0,76.0,8.337571557841645e-13,1.0014874344090122e-12,238.0,239.0,2.8238087962397084e-12,2.811993696673852e-12,0
13.0,1.0,0.0,1.0,229.0,230.0,-1.595561282608696e-06,6.0866030893396e-10,2.4671041910182063e-05,-0.812622692797941,0.3897460704873026,1.0,1.0,1.0,1.0,1.0,9.853793080883763e-12,1.9199652146969388e-11,229.0,230.0,2.6579052791875986e-12,2.646349169278087e-12,0
14.0,0.0,1.0,1.0,221.0,222.0,6.963036954954955e-06,6.600910775784e-10,2.569223769114711e-05,-1.3099544300386137,-0.1617670429963454,1.0,1.0,1.0,67.0,77.0,8.710885684176065e-13,1.0171315610337586e-12,221.0,222.0,2.986837455105884e-12,2.9733832323351362e-12,0
15.0,1.0,1.0,1.0,200.0,201.0,-7.767890676616916e-06,1.4598433919622123e-10,1.2082397907543902e-05,-1.3764193585466062,-0.1466542507753611,8.0,2.0,1.0,21.0,32.0,4.0355165314199206e-12,9.654801934071314e-12,200.0,201.0,7.299216959811063e-13,7.262902447573199e-13,0
